0:0:0:0:0:0:0:1 - - [12/Sep/2017:19:53:07 +0800] "GET /FinacialSys/SelectMoney?HeadTime=2016-09-01&TailTime=2017-09-07 HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [12/Sep/2017:19:53:17 +0800] "GET /FinacialSys/plan HTTP/1.1" 200 14861
0:0:0:0:0:0:0:1 - - [12/Sep/2017:19:53:17 +0800] "GET /FinacialSys/assets/css/plan.css HTTP/1.1" 200 7075
0:0:0:0:0:0:0:1 - - [12/Sep/2017:19:53:17 +0800] "GET /FinacialSys/assets/js/plan.js HTTP/1.1" 200 2180
0:0:0:0:0:0:0:1 - - [12/Sep/2017:19:53:17 +0800] "GET /FinacialSys/assets/img/090f611a-97ae-4623-a773-18fccdc730d517645498_091850947000_2.jpg HTTP/1.1" 404 1159
0:0:0:0:0:0:0:1 - - [12/Sep/2017:19:53:23 +0800] "GET /FinacialSys/showPlanDetails?planID=22 HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [12/Sep/2017:19:53:28 +0800] "GET /FinacialSys/userGroup HTTP/1.1" 200 7767
0:0:0:0:0:0:0:1 - - [12/Sep/2017:19:53:28 +0800] "GET /FinacialSys/assets/js/userGroup.js HTTP/1.1" 200 2146
0:0:0:0:0:0:0:1 - - [12/Sep/2017:19:53:28 +0800] "GET /FinacialSys/assets/img/090f611a-97ae-4623-a773-18fccdc730d517645498_091850947000_2.jpg HTTP/1.1" 404 1159
0:0:0:0:0:0:0:1 - - [12/Sep/2017:19:53:29 +0800] "GET /FinacialSys/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Sep/2017:19:53:29 +0800] "GET /FinacialSys/index HTTP/1.1" 200 974
0:0:0:0:0:0:0:1 - - [12/Sep/2017:19:56:57 +0800] "GET /FinacialSys/index HTTP/1.1" 200 974
0:0:0:0:0:0:0:1 - - [12/Sep/2017:19:56:57 +0800] "GET /FinacialSys/assets/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2017:19:56:57 +0800] "GET /FinacialSys/assets/img/15.jpg HTTP/1.1" 304 -
